,index,Gender
0,"M, M",366
1,"M, missing",276
2,"F, M",243
3,"M, F",156
4,"F, F",134
5,"missing, M, F",101
6,"missing, M",74
7,"M, M, M",62
8,"M, F, F",23
9,"F, missing, missing",23
10,"missing, missing, missing",20
11,"F, missing",20
12,"missing, missing",18
13,"missing, M, F, missing",17
14,"F, M, F, M, M, M",17
15,"M, M, missing",16
16,"M, F, M, M",16
17,"missing, F, M",15
18,"M, M, F",14
19,"M, F, M",14
20,"missing, M, M, M, M, M",13
21,"missing, M, M",13
22,"F, M, F, M, M",13
23,NB,12
24,"missing, M, M, M",11
25,"F, F, M, F, M",11
26,"missing, F, F",10
27,"M, missing, missing",9
28,"M, F, missing",9
29,"M, missing, missing, missing",9
30,"missing, F",8
31,"F, M, missing",7
32,"M, M, M, missing",6
33,"missing, missing, F, F, F, F",6
34,"missing, M, F, F, missing, M, M, M, missing, missing, missing, missing, missing, missing, missing, missing, missing",6
35,"missing, M, M, missing",6
36,"M, M, F, F",6
37,"F, M, M, F, missing, missing",5
38,"M, M, M, M",5
39,"M, F, missing, M",5
40,"missing, M, missing",4
41,"M, M, M, M, missing",3
42,"missing, missing, M",3
43,"missing, M, F, M, F, M",2
44,"M, missing, M",2
45,"missing, M, F, M, M, M",2
46,"M, missing, M, missing",2
47,"missing, missing, missing, missing, missing, missing, missing, missing, missing, M",2
48,"missing, F, M, M, F, M",2
49,"M, M, F, M, missing",2
50,"M, F, F, M, missing",2
51,"missing, F, M, F, M, M, F, M",2
52,"F, M, M",2
53,"F, M, M, M, M, missing",2
54,"F, M, M, missing, M, M, M, missing, F, M, missing, missing, F, M, M",1
55,"missing, missing, M, F, F, M, F",1
56,"M, missing, missing, missing, M",1
57,"missing, M, M, M, M",1
58,"missing, missing, F, missing, missing, M, F, missing, M, missing, M, missing",1
59,"F, M, M, M",1
60,"missing, missing, M, M, M, M",1
61,"missing, F, M, F, M, F, M",1
62,"F, F, F",1
63,"M, M, M, M, M, M, M, missing",1
64,"missing, missing, M, missing",1
65,"F, M, missing, missing",1
66,"M, F, M, missing",1
67,"missing, missing, M, M, M, M, missing, missing, missing, missing, missing, missing",1
68,"M, M, M, M, M, M, M, M, M, F, missing, F, M, M, M, M, M, M, missing",1
69,"M, M, M, M, M",1
70,"missing, M, M, F, M, M, F",1
71,"missing, F, F, M, M, M, M, M, M, F, M, M, M, missing, M, M, M, F, M, M, M, F",1
72,"M, M, M, F",1
73,"M, M, M, F, missing",1
74,"missing, F, F, M, F, F, F, F, M, M, F, M",1
75,"M, missing, missing, missing, missing",1
76,"missing, F, M, F, F, F, M, M, M, F",1
77,"F, F, M",1
78,"M, F, M, M, M, F, M",1
79,"M, M, M, M, M, F, F, M, M, M, M",1
80,"missing, F, M, M, F",1
81,"missing, M, M, M, F",1
82,"F, missing, missing, missing",1
83,"missing, F, missing, missing",1
84,"missing, F, M, F",1
85,"missing, M, F, M, M",1
86,"missing, M, F, F, F, M, F, missing, M, M, F",1
87,"F, M, M, M, M, F, missing, M",1
88,"missing, M, M, M, M, F, M, F, M",1
89,"M, M, M, M, missing, missing, missing",1
90,"M, M, missing, missing, M, missing, missing, missing",1
91,"missing, M, M, F",1
92,"missing, M, M, F, F",1
93,"missing, F, M, M, F, F, M",1
94,"missing, M, missing, missing, M, missing, M, missing, M, F, missing, M, missing, F, missing, missing, F, M",1
95,"M, F, M, F",1
96,"missing, missing, missing, missing, missing, missing, M",1
97,"M, missing, M, missing, M, missing, missing, missing",1
98,"missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, missing, M",1
99,"missing, M, M, F, M",1
100,"M, M, M, M, M, missing",1
101,"missing, M, M, missing, M, F, F",1
102,"F, M, F, M, M, missing, missing",1
103,"missing, F, F, missing, M",1
104,"F, F, F, missing",1
105,"M, F, M, M, missing",1
106,"M, F, M, M, M, missing",1
107,"missing, missing, M, M",1
108,"missing, missing, missing, missing, missing",1
109,"missing, missing, F, M, M, missing",1
110,"M, M, F, M",1
111,"F, M, missing, M, missing",1
112,"F, M, M, M, missing",1
113,"missing, missing, missing, missing",1
114,"missing, missing, missing, missing, missing, missing",1
115,"M, F, missing, missing",1
116,"M, M, F, M, M, M, M, F, M, M, missing, M, M, M, missing",1
117,"M, missing, missing, missing, missing, missing, M, missing, missing, missing",1
118,"M, F, M, F, M, missing",1
119,"missing, M, F, M, M, M, M, F, M, M, F",1
120,"M, missing, M, M, F, missing",1
121,"missing, M, M, missing, F, M",1
122,"M, missing, F, M, missing, missing",1
123,"M, M, M, missing, F, missing",1
124,"M, M, F, M, M, missing",1
125,"F, M, M, missing",1
126,"missing, M, F, M, M, F",1
127,"M, F, M, M, M, M, M, F, F, F, M, missing",1
128,"missing, F, M, M, M, M, F, M, M",1
129,"F, M, M, F, M, missing",1
130,"M, F, M, F, missing",1
131,"M, M, M, F, M, missing",1
132,"M, M, M, M, M, M",1
133,"M, M, M, M, M, M, M, M, M, M, M, M, M, M, M, F, M",1
134,"missing, M, NB, F, F, F",1
135,"missing, F, M, F, M, M, M, M",1
136,"missing, M, M, M, M, missing, M, F, M, M, F, M, M, M, M, M, M, M, F, M, M, M, M",1
137,"M, F, F, F",1
138,"M, missing, F",1
139,"M, M, M, F, missing, M",1
140,"missing, F, F, M, M, M",1
141,"missing, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F, F",1
142,"M, missing, missing, M, missing",1
143,"missing, F, F, M, M",1
144,"M, M, missing, missing, M",1
145,"missing, F, F, F, F, M",1
146,"M, M, M, F, M, M, M, F, M, F, M, M, M, M, missing",1
147,"missing, M, F, missing, M, M",1
148,"F, F, M, F, missing",1
149,"F, M, F",1
150,"missing, M, M, M, M, M, M, M, M, M, F",1
151,"M, M, F, M, missing, missing",1
152,"F, missing, M",1
153,"missing, missing, missing, missing, M, missing, missing",1
154,"missing, F, M, M, M, M, missing, M, missing, missing",1
155,"M, M, missing, missing",1
156,"F, F, M, M, F, missing",1
157,"missing, M, F, M, M, M, F, F, F, M",1
158,"F, M, F, M, missing",1
159,"F, missing, M, M, M, M, M, missing, M, M, M, F",1
160,"missing, M, M, M, missing, F, missing, missing, missing",1
161,"missing, M, M, F, F, F, F",1
